initial_alias,converted_alias,name,description,namespace
ALOXE3,ENSG00000179148,ALOXE3,arachidonate lipoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:13743],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPB8,ENSG00000152137,HSPB8,heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C2ORF66,ENSG00000187944,C2orf66,chromosome 2 open reading frame 66 [Source:HGNC Symbol;Acc:HGNC:33809],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM95,ENSG00000182896,TMEM95,transmembrane protein 95 [Source:HGNC Symbol;Acc:HGNC:27898],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LCN10,ENSG00000187922,LCN10,lipocalin 10 [Source:HGNC Symbol;Acc:HGNC:20892],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PCSK5,ENSG00000099139,PCSK5,proprotein convertase subtilisin/kexin type 5 [Source:HGNC Symbol;Acc:HGNC:8747],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ADCY10,ENSG00000143199,ADCY10,adenylate cyclase 10 [Source:HGNC Symbol;Acc:HGNC:21285],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPA4L,ENSG00000164070,HSPA4L,heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SESN3,ENSG00000149212,SESN3,sestrin 3 [Source:HGNC Symbol;Acc:HGNC:23060],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CCL26,ENSG00000006606,CCL26,C-C motif chemokine ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CASS4,ENSG00000087589,CASS4,Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPE1-MOB4,ENSG00000270757,HSPE1-MOB4,HSPE1-MOB4 readthrough [Source:HGNC Symbol;Acc:HGNC:49184],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
USPL1,ENSG00000132952,USPL1,ubiquitin specific peptidase like 1 [Source:HGNC Symbol;Acc:HGNC:20294],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LY6G6C,ENSG00000204421,LY6G6C,lymphocyte antigen 6 family member G6C [Source:HGNC Symbol;Acc:HGNC:13936],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ATF3,ENSG00000162772,ATF3,activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EGR1,ENSG00000120738,EGR1,early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DUSP1,ENSG00000120129,DUSP1,dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MAFB,ENSG00000204103,MAFB,MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FOXJ1,ENSG00000129654,FOXJ1,forkhead box J1 [Source:HGNC Symbol;Acc:HGNC:3816],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ENGASE,ENSG00000167280,ENGASE,endo-beta-N-acetylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:24622],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
COX8C,ENSG00000187581,COX8C,cytochrome c oxidase subunit 8C [Source:HGNC Symbol;Acc:HGNC:24382],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DEFB115,ENSG00000215547,DEFB115,defensin beta 115 [Source:HGNC Symbol;Acc:HGNC:18096],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DHDH,ENSG00000104808,DHDH,dihydrodiol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:17887],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TICAM2,ENSG00000243414,TICAM2,TIR domain containing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:21354],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CSF3,ENSG00000108342,CSF3,colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CLU,ENSG00000120885,CLU,clusterin [Source:HGNC Symbol;Acc:HGNC:2095],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CHRNA2,ENSG00000120903,CHRNA2,cholinergic receptor nicotinic alpha 2 subunit [Source:HGNC Symbol;Acc:HGNC:1956],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MIA-RAB4B,ENSG00000268975,MIA-RAB4B,MIA-RAB4B readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:48352],"GENECARDS,HGNC,UNIPROT_GN"
C11ORF94,ENSG00000234776,FREY1,Frey regulator of sperm-oocyte fusion 1 [Source:HGNC Symbol;Acc:HGNC:37213],UNIPROT_GN
THEGL,ENSG00000249693,THEGL,theg spermatid protein like [Source:HGNC Symbol;Acc:HGNC:43771],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CHORDC1,ENSG00000110172,CHORDC1,cysteine and histidine rich domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14525],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DUX4,ENSG00000260596,DUX4,double homeobox 4 [Source:HGNC Symbol;Acc:HGNC:50800],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CCNP,ENSG00000105219,CCNP,cyclin P [Source:HGNC Symbol;Acc:HGNC:25805],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPB9,ENSG00000260325,HSPB9,heat shock protein family B (small) member 9 [Source:HGNC Symbol;Acc:HGNC:30589],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SUMO4,ENSG00000177688,SUMO4,small ubiquitin like modifier 4 [Source:HGNC Symbol;Acc:HGNC:21181],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FAM177B,ENSG00000197520,FAM177B,family with sequence similarity 177 member B [Source:HGNC Symbol;Acc:HGNC:34395],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
B3GALT4,ENSG00000235863,B3GALT4,"beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CACNA1G,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RASD1,ENSG00000108551,RASD1,ras related dexamethasone induced 1 [Source:HGNC Symbol;Acc:HGNC:15828],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KLHL25,ENSG00000183655,KLHL25,kelch like family member 25 [Source:HGNC Symbol;Acc:HGNC:25732],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPB2,ENSG00000170276,HSPB2,heat shock protein family B (small) member 2 [Source:HGNC Symbol;Acc:HGNC:5247],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FZD8,ENSG00000177283,FZD8,frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IGLV1-50,ENSG00000211645,IGLV1-50,immunoglobulin lambda variable 1-50 (non-functional) [Source:HGNC Symbol;Acc:HGNC:5881],"GENECARDS,HGNC,UNIPROT_GN"
SERPINC1,ENSG00000117601,SERPINC1,serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C11ORF96,ENSG00000187479,C11orf96,chromosome 11 open reading frame 96 [Source:HGNC Symbol;Acc:HGNC:38675],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CFAP53,ENSG00000172361,CFAP53,cilia and flagella associated protein 53 [Source:HGNC Symbol;Acc:HGNC:26530],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMPRSS9,ENSG00000178297,TMPRSS9,transmembrane serine protease 9 [Source:HGNC Symbol;Acc:HGNC:30079],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
H1-6,ENSG00000187475,H1-6,"H1.6 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4720]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GAL3ST1,ENSG00000128242,GAL3ST1,galactose-3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24240],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ARC,ENSG00000198576,ARC,activity regulated cytoskeleton associated protein [Source:HGNC Symbol;Acc:HGNC:648],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FBXW10B,ENSG00000241322,FBXW10B,F-box and WD repeat domain containing 10B [Source:HGNC Symbol;Acc:HGNC:14379],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IFI35,ENSG00000068079,IFI35,interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LGALS4,ENSG00000171747,LGALS4,galectin 4 [Source:HGNC Symbol;Acc:HGNC:6565],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DEPP1,ENSG00000165507,DEPP1,DEPP autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:23355],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CFP,ENSG00000126759,CFP,complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CD14,ENSG00000170458,CD14,CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM31,ENSG00000179363,TMEM31,transmembrane protein 31 [Source:HGNC Symbol;Acc:HGNC:28601],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EGR3,ENSG00000179388,EGR3,early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MAFA,ENSG00000182759,MAFA,MAF bZIP transcription factor A [Source:HGNC Symbol;Acc:HGNC:23145],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HBA1,ENSG00000206172,HBA1,hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SPACDR,ENSG00000185955,SPACDR,sperm acrosome developmental regulator [Source:HGNC Symbol;Acc:HGNC:22135],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GEM,ENSG00000164949,GEM,GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NR4A3,ENSG00000119508,NR4A3,nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SERINC4,ENSG00000184716,SERINC4,serine incorporator 4 [Source:HGNC Symbol;Acc:HGNC:32237],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TNF,ENSG00000232810,TNF,tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSP90AA1,ENSG00000080824,HSP90AA1,heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DNAJA1,ENSG00000086061,DNAJA1,DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
JMJD6,ENSG00000070495,JMJD6,"jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RSPH10B2,ENSG00000169402,RSPH10B2,radial spoke head 10 homolog B2 [Source:HGNC Symbol;Acc:HGNC:34385],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ESR1,ENSG00000091831,ESR1,estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
XIRP1,ENSG00000168334,XIRP1,xin actin binding repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14301],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
COL26A1,ENSG00000160963,COL26A1,collagen type XXVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:18038],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LAG3,ENSG00000089692,LAG3,lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SEMA4A,ENSG00000196189,SEMA4A,semaphorin 4A [Source:HGNC Symbol;Acc:HGNC:10729],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EFCAB12,ENSG00000172771,EFCAB12,EF-hand calcium binding domain 12 [Source:HGNC Symbol;Acc:HGNC:28061],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OOEP,ENSG00000203907,OOEP,oocyte expressed protein [Source:HGNC Symbol;Acc:HGNC:21382],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CLDN9,ENSG00000213937,CLDN9,claudin 9 [Source:HGNC Symbol;Acc:HGNC:2051],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
UCP3,ENSG00000175564,UCP3,uncoupling protein 3 [Source:HGNC Symbol;Acc:HGNC:12519],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LENEP,ENSG00000163352,LENEP,lens epithelial protein [Source:HGNC Symbol;Acc:HGNC:14429],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CLDN6,ENSG00000184697,CLDN6,claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SULT6B1,ENSG00000138068,SULT6B1,sulfotransferase family 6B member 1 [Source:HGNC Symbol;Acc:HGNC:33433],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PNCK,ENSG00000130822,PNCK,pregnancy up-regulated nonubiquitous CaM kinase [Source:HGNC Symbol;Acc:HGNC:13415],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IGHG4,ENSG00000211892,IGHG4,immunoglobulin heavy constant gamma 4 (G4m marker) [Source:HGNC Symbol;Acc:HGNC:5528],"GENECARDS,HGNC,UNIPROT_GN"
FOXD4L3,ENSG00000187559,FOXD4L3,forkhead box D4 like 3 [Source:HGNC Symbol;Acc:HGNC:18523],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CLK1,ENSG00000013441,CLK1,CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C17ORF67,ENSG00000214226,C17orf67,chromosome 17 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:27900],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BMP4,ENSG00000125378,BMP4,bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
JUN,ENSG00000177606,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TRIML2,ENSG00000179046,TRIML2,tripartite motif family like 2 [Source:HGNC Symbol;Acc:HGNC:26378],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LRIT3,ENSG00000183423,LRIT3,"leucine rich repeat, Ig-like and transmembrane domains 3 [Source:HGNC Symbol;Acc:HGNC:24783]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MRPL18,ENSG00000112110,MRPL18,mitochondrial ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:14477],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR2B6,ENSG00000124657,OR2B6,olfactory receptor family 2 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:8241],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MAP7D2,ENSG00000184368,MAP7D2,MAP7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25899],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IL31,ENSG00000204671,IL31,interleukin 31 [Source:HGNC Symbol;Acc:HGNC:19372],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KCNE5,ENSG00000176076,KCNE5,potassium voltage-gated channel subfamily E regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:6241],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PLA2G12B,ENSG00000138308,PLA2G12B,phospholipase A2 group XIIB [Source:HGNC Symbol;Acc:HGNC:18555],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CCL20,ENSG00000115009,CCL20,C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GAS1,ENSG00000180447,GAS1,growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NCR3,ENSG00000204475,NCR3,natural cytotoxicity triggering receptor 3 [Source:HGNC Symbol;Acc:HGNC:19077],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SLC6A13,ENSG00000010379,SLC6A13,solute carrier family 6 member 13 [Source:HGNC Symbol;Acc:HGNC:11046],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MGARP,ENSG00000137463,MGARP,mitochondria localized glutamic acid rich protein [Source:HGNC Symbol;Acc:HGNC:29969],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
